Key,fr-fr,sv,de,es-es,es-es-female,ru,ru-female,uk,uk-female,zh-hans,ja,pt-br,pt-br-female
main_menu_exit,QUITTER,AVSLUTA,ÇIKIŞ,SALIR,,ВЫХОД,,ВИХІД,,退出,終了,SAIR,
main_menu_stand_up,SE LEVER,STÅ UPP,AYAĞA KALK,LEVANTARSE,,ВСТАТЬ,,ВСТАТИ,,起身瞧瞧,立ち上がる,LEVANTAR-SE,
credits_thanks,Merci d'avoir joué,Tack för att du spelade,Oynadığınız için teşekkürler,Gracias por jugar,,Благодарим за игру,,"Дякуємо, що зіграли",,感谢游玩,Thanks for playing,Agradecemos por jogar,
value_on,SUR,PÅ,AÇIK,SÍ,,ВКЛ.,,УВІМК.,,开,オン,LIGADO(A),
value_off,DÉSACTIVÉ,AV,KAPALI,NO,,ВЫКЛ.,,ВИМК.,,关,オフ,DESLIGADO(A),
value_kbm,CLAVIER+SOURIS,TANGENTBORD+MUS,KLAVYE+FARE,TECLADO+RATÓN,,КЛАВИАТУРА+МЫШЬ,,КЛАВІАТУРА+МИША,,键鼠,キーボードとマウス,TECLADO+MOUSE,
value_gamepad,MANETTE,HANDKONTROLL,GAMEPAD,MANDO,,ГЕЙМПАД,,КОНТРОЛЕР,,手柄,ゲームパッド,CONTROLE,
title_settings,PARAMÈTRES,INSTÄLLNINGAR,AYARLAR,AJUSTES,,НАСТРОЙКИ,,НАЛАШТУВАННЯ,,设置,設定,CONFIGURAÇÕES,
button_options,OPTIONS,ALTERNATIV,SEÇENEKLER,OPCIONES,,ПАРАМЕТРЫ,,ПАРАМЕТРИ,,选项,オプション,OPÇÕES,
buitton_resume,REPRENDRE,FORTSÄTT,DEVAM ET,CONTINUAR,,ВОЗОБНОВИТЬ,,ВІДНОВИТИ,,返回游戏,再開,RETOMAR,
button_exit_to_menu,RETOUR AU MENU,GÅ TILL MENY,MENÜYE DÖN,SALIR AL MENÚ,,ВЫЙТИ В МЕНЮ,,ВИЙТИ ДО МЕНЮ,,返回菜单,メニューに戻る,SAIR PARA O MENU,
button_exit_to_desktop,QUITTER LE JEU,GÅ TILL SKRIVBORD,MASAÜSTÜNE DÖN,SALIR AL ESCRITORIO,,НА РАБОЧИЙ СТОЛ,,ВИЙТИ НА СТІЛЬНИЦЮ,,返回桌面,デスクトップに戻る,SAIR PARA A ÁREA DE TRABALHO,
button_close,FERMER,STÄNG,KAPAT,CERRAR,,ЗАКРЫТЬ,,ЗАКРИТИ,,关闭,閉じる,FECHAR,
button_credits,CRÉDITS,EFTERTEXTER,EMEĞİ GEÇENLER,CRÉDITOS,,АВТОРЫ,,ТИТРИ,,制作人员名单,クレジット,CRÉDITOS,
button_reset_tutorials,RÉINITIALISER TUTORIELS,ÅTERSTÄLL TUTORIALS,ÖĞRETİCİYİ SIFIRLA,RESTABLECER TUTORIALES,,СБРОСИТЬ ОБУЧЕНИЕ,,СКИНУТИ НАВЧАННЯ,,重置教程,チュートリアルをリセット,REDEFINIR TUTORIAIS,
title_audio,AUDIO,AUDIO,SES,AUDIO,,АУДИО,,АУДІО,,音频,オーディオ,ÁUDIO,
option_audio_master,VOLUME,MASTER,ANA,PRINCIPAL,,ОСНОВНОЕ,,ЗАГАЛЬНО,,主音量,マスター,PRINCIPAL,
option_audio_sound,SONS,LJUD,SES,SONIDO,,ЗВУК,,ЗВУК,,音效,効果音,SOM,
option_audio_music,MUSIQUE,MUSIK,MÜZİK,MÚSICA,,МУЗЫКА,,МУЗИКА,,音乐,BGM,MÚSICA,
title_video,VIDÉO,VIDEO,VİDEO,VÍDEO,,ВИДЕО,,ВІДЕО,,视频,ビデオ,VÍDEO,
option_video_streamer_mode,MODE STREAMER,STREAMERLÄGE,YAYINCI MODU,MODO STREAMER,,РЕЖИМ СТРИМЕРА,,РЕЖИМ СТРИМЕРА,,主播模式,配信者モード,MODO STREAMER,
tooltip_streamer_mode,Activer le mode streamer retire de la TRÈS bonne musique du jeu.,Med streamerläge försvinner en del VÄLDIGT bra musik från spelet.,Yayıncı modunu aktifleştirmek oyundanki bir sürü GERÇEKTEN iyi müziği kaldıracaktır.,Activar el modo streamer elimina una buena cantidad de auténticos TEMAZOS del juego.,,Активация режима стримера оставит вас без пригоршни ДЕЙСТВИТЕЛЬНО классных треков.,,Увімкнення режиму стримера заблокує деяку СПРАВДІ гарну ігрову музику.,,开启主播模式，游戏中宛如天籁的音乐就会消失。,配信者モードを有効にすると、たくさんの極上の音楽がゲーム中に再生されなくなります。,"Ao ativar o modo streamer, algumas músicas MUITO boas serão removidas do jogo.",
option_video_full_screen,PLEIN ÉCRAN,HELSKÄRM,TAM EKRAN,PANTALLA COMPLETA,,ПОЛНЫЙ ЭКРАН,,НА ВЕСЬ ЕКРАН,,全屏,フルスクリーン,TELA CHEIA,
option_video_borderless,SANS BORDURES,BORDERLESS,ÇERÇEVESİZ,SIN BORDES,,БЕЗРАМОЧНЫЙ,,БЕЗРАМКОВИЙ,,无边框,ボーダーレス,SEM BORDAS,
option_video_camera_filter,FILTRE CAMÉRA,KAMERAFILTER,KAMERA FİLTRESİ,FILTRO DE CÁMARA,,ФИЛЬТР КАМЕРЫ,,ФІЛЬТР КАМЕРИ,,镜头滤镜,カメラフィルター,FILTRO DA CÂMERA,
title_key_bindings,CONFIGURATIONS DES TOUCHES,KORTKOMMANDON,TUŞ ATAMASI,ASIGNACIÓN DE TECLAS,,НАЗНАЧЕНИЯ КЛАВИШ,,ПРИЗНАЧЕННЯ КЛАВІШ,,按键设置,キー設定,VÍNCULO DE TECLAS,
title_controller,MANETTE,KONTROLL:,KONTROLCÜ:,MANDO:,,КОНТРОЛЛЕР:,,КОНТРОЛЕР:,,控制器：,コントローラー：,CONTROLE:,
title_language,LANGUE,SPRÅK,DİLLER,IDIOMA,,ЯЗЫК,,МОВА,,语言,言語,IDIOMA,
option_language,LANGUE,SPRÅK,DİLLER,IDIOMA,,ЯЗЫК,,МОВА,,语言,言語,IDIOMA,
music_menu_loading,chargement...,laddar...,yükleniyor...,Cargando...,,загрузка...,,завантаження...,,正在载入......,読み込み中...,carregando...,
time_hours,§time Heures,§time Timmar,§time Saat,§time Horas,,§time ч.,,§time год.,,§time 小时,§time時間,§time Horas,
dont_forget_your_letter,N'oubliez pas votre lettre!,Glöm inte ditt brev!,Mektubunu almayı unutma!,¡No olvides tu carta!,,Не забудьте своё письмо!,,Не забудьте листа!,,别忘了你的信！,手紙をお忘れなく！,Não se esqueça de sua correspondência!,
click_to_open_journal,Cliquez pour ouvrir le journal,Tryck för att öppna dagbok,Seyir defterini açmak için tıkla,Haz clic para abrir el diario,,"Щёлкните, чтобы открыть блокнот",,"Клацніть, щоб відкрити нотатник",,点击打开日志,クリックして日記を開く,Clique para abrir o diário,
click_to_open_journal_gp,Appuyez sur A pour ouvrir le journal,Tryck A för att öppna dagbok,Seyir defterini açmak için tıkla A tuşuna tıkla,Pulsa A para abrir el diario,,"Нажмите А, чтобы открыть блокнот",,"Натисніть А, щоб відкрити нотатник",,按A打开日志,Aを押して日記を開く,Pressione A para abrir o diário,
hh_skill_uses_boost,+1 utilisation Compétence de l'Autostoppeur,Liftares Skillanvändningar +1,Otostopçu +1 yeteneğini kullandı,La habilidad del autoestopista usa +1,,Навык попутчика: +1 использование,,+1 застосування вміння автостопника,,搭车客技能可用次数+1,ヒッチハイカーのスキル使用回数+1,+1 Uso da Habilidade do Caroneiro,
hh_trait_prefix,Trait de Caractère: §trait,Egenskap: §trait,Özellik: §trait,Rasgo: §trait,,Черта: §trait,,Риса: §trait,,天赋：§trait,特性：§trait,Traço: §trait,
hh_level,Niveau: §level,Nivå: §level,Seviye: §level,Nivel: §level,,Уровень: §level,,Рівень: §level,,等级：§level,レベル：§level,Nível: §level,
hh_inv_drag_desc,Cliquez et faites glisser pour déplacer les personnages dans votre voiture.,Klicka och dra för att flytta på passagerare i bilen.,Arabanızdaki yolcuları hareket ettirmek için tıklayıp sürükleyin.,Haz clic y arrastra para colocar a tus pasajeros en el coche.,,"Щёлкните и тяните, чтобы пересаживать пассажиров с места на место.",,"Клацайте й тягніть, щоб перетягувати пасажирів у автівці.",,点击拖动，调整乘客在车里的位置。,クリック＆ドラッグで車内の同乗者を移動できます,Clique e arraste para mover os passageiros em seu carro.,
hh_drag_title,Autostoppeur,Liftare,Otostopçu,Autoestopista,,Попутчик,,Автостопник,,搭车客,ヒッチハイカー,Caroneiro,
hh_drag_desc,Maintenez et faites glisser dans un espace de votre inventaire.,Håll ner och dra till ett säte i ditt förråd.,Envanterinizdeki bir koltuğa tutun ve sürükleyin.,Mantén y arrastra hacia un asiento en tu inventario.,,Удерживайте и перетяните на место в машине.,,Утримуйте й перетягніть на місце в автівці.,,长按并拖到储物位。,長押ししつつドラッグで、インベントリの座席に移動させましょう,Segure e arraste para um banco em seu inventário.,
garage_drag_tooltip,Faites glisser une amélioration ici pour l'installer.,Dra uppdateringen hit för att installera den.,Bir yükseltmeyi yüklemek için buraya sürükleyin.,Arrastra una mejora hasta aquí para instalarla.,,"Перетяните сюда улучшение, чтобы установить его.",,"Перетягніть сюди покращення, щоб установити його.",,将升级部件拖到这里安装。,アップグレードをここにドラッグすれば取り付けられます,Arraste um aprimoramento até aqui para instalá-lo.,
garage_view_tooltip,Rendez-vous dans un garage pour installer une amélioration ici.,Åk till ett garage för att installera en uppgradering här.,Burada bir yükseltme yüklemek için bir garajı ziyaret edin.,Visita un taller para instalar aquí una mejora.,,"Загляните в сервис, чтобы установить там улучшение.",,"Завітайте до майстерні, щоб установити покращення.",,去修车厂可以安装升级。,整備工場に行けば、ここにアップグレードを取り付けられます,Visite uma oficina para instalar um aprimoramento aqui.,
stat_energy_title,Énergie,Energi,Enerji,Energía,,Энергия,,Енергія,,体力,元気,Energia,
stat_energy_desc,Peut être récupérée en se reposant ou en utilisant des objets.,Kan återställas genom vila eller med hjälp av föremål.,Dinlenerek veya eşyalar aracılığıyla geri kazanılabilir.,Puede restaurarse ya sea durmiendo o con objetos.,,Её можно восстановить отдыхом или предметами.,,Її можна відновити відпочинком або предметами.,,休息或使用物品即可恢复。,休みを取るかアイテムを使えば回復できます,Pode ser recuperada ao descansar ou utilizando itens.,
stat_gas_title,Carburant,Bensin,Yakıt,Gasolina,,Топливо,,Пальне,,油量,ガソリン,Combustível,
stat_gas_desc,Se consomme lentement en conduisant. Faites le plein aux stations-service.,Dras när du kör. Återställ på bensinmacker.,Sürüş esnasında pasif olarak boşalır. Benzin istasyonlarında tekrar doldurulabilir.,Se consume de manera pasiva al conducir. Se restaura en las gasolineras.,,Постепенно расходуется во время езды. Можно залить на заправке.,,Поступово зменшується під час їзди. Можна залити на заправках.,,驾驶时会自动消耗，需要在加油站补充。,運転していると徐々に減少します。ガソリンスタンドで回復できます,É drenado de forma passiva ao dirigir. Recupere-o em postos de gasolina.,
stat_money_title,Argent,Pengar,Para,Dinero,,Деньги,,Гроші,,资金,所持金,Dinheiro,
stat_money_desc,Utilisé pour acheter des choses. Vous pouvez gagner de l'argent en travaillant dans une agence pour l'emploi ou en vendant des objets.,Används för att köpa saker. Du kan få pengar genom att jobba på en arbetsförmedling eller genom att sälja föremål.,Bir şeyler satın almak için kullanılır. İş bulma kurumunda çalışarak veya ürün satarak para kazanabilirsiniz.,Se usa para comprar cosas. Puedes conseguirlo trabajando en una oficina de empleo o vendiendo artículos.,,Нужны для приобретения вещей. Заработать деньги можно в центре занятости или продавая предметы.,,За них можна придбати речі. Заробити гроші можна підробітком у центрі зайнятості або збуваючи предмети.,,购物必备。在就业中心工作或者出售物品，都能赚到钱。,買い物に使用します。職業安定所を利用して働くか、アイテムを売ることで所持金を増やせます,É utilizado para comprar coisas. Você pode adquirir dinheiro ao trabalhar no escritório admissional ou vendendo itens.,
stat_durability_title,Durabilité,Uthållighet,Dayanıklılık,Durabilidad,,Прочность,,Міцність,,耐久,耐久度,Durabilidade,
stat_durability_desc,Représente l'état de votre véhicule. Vous pouvez restorer la durabilité dans les garages.,Representerar ditt fordons skick. Du kan reparera durability på ett garage.,Aracınızın durumunu gösterir. durability servislerde tamir ettirilebilir.,Representa el estado de tu vehículo. Puedes reparar la durability en los talleres.,,Отражает состояние вашего транспорта. Восстановить её можно в гаражах.,,Показує стан вашого автомобіля. Відновити durability можна у майстернях.,,代表汽车的状态。durability可以在修车厂修复。,車の状態です。整備工場でdurabilityを回復できます,Representa a condição de seu veículo. Você pode consertar a durability nas oficinas.,
new_music_unlocked,NOUVELLE___MUSIQUE___DÉBLOQUÉE!___,NY___MUSIK___UPPLÅST!___,YENİ___ŞARKI___AÇILDI!,¡NUEVA___MÚSICA___DESBLOQUEADA!___,,ОТКРЫТА___НОВАЯ___МУЗЫКА!___,,ВІДКРИТО___НОВУ___МУЗИКУ!___,,全新音乐___现已解锁！___,新しい音楽がアンロックされました！,NOVA___MÚSICA___DESBLOQUEADA!___,
item_quest_marker,Q,Q,Q,Q,,З,,З,,任务,Q,M,
hitchhiker_level_abbrev,nv: §level,lv: §level,Sv: §level,nv: §level,,ур: §level,,рв: §level,,等级：§level,レベル：§level,nv: §level,
shoplifting_warning,VOL À L'ÉTALAGE!,SNATTERI!,HIRSIZLIK!,¡HURTO!,,МАГАЗИННАЯ КРАЖА!,,КРАМНИЧНА КРАДІЖКА!,,店里有贼！,万引き！,FURTANDO A LOJA!,
shop_buy_title,Acheter l'objet,Köp föremål,Eşya satın al,Comprar artículo,,Купить предмет,,Купити предмет,,购买物品,商品を買う,Comprar item,
shop_buy_desc,Faites glisser l'objet dans votre coffre pour l'acheter.,Dra föremålet till din baklucka för att köpa det.,Satın almak istediğiniz ürünü bagajınıza sürükleyin.,Arrastra los artículos a tu maletero para comprarlos.,,"Перетащите предмет в багажник, чтобы купить его.",,"Перетягніть предмет до вашого багажника, щоби придбати його.",,将物品拖进后备箱即可购买。,商品をトランクにドラッグすると購入できます,Arraste o item ao seu porta-malas para comprá-lo.,
gain_skill_point_singular,+ §points point de Compétence!,+ §points Skillpoäng!,+ §points Fähigkeitspunkt!,¡+ §points punto de habilidad!,,+ §points оч. навыка!,,+ §points од. умінь!,,技能点+§points！,スキルポイント+§points！,+ §points ponto de Habilidade!,
gain_skill_point_plural,+ §points points de Compétence!,+ §points Skillpoäng!,+ §points Fähigkeitspunkte!,¡+ §points puntos de habilidad!,,+ §points оч. навыка!,,+ §points од. умінь!,,技能点+§points！,スキルポイント+§points！,+ §points pontos de Habilidade!,
gain_experience_abbrev,Exp:,Exp:,Tp:,Exp:,,Оп:,,Дос:,,经验：,経験値：,Exp.:,
skills_restore_uses,Nombre d'Utilisations Compétence +§amount,Skills återställs med +§amount,+§amount Fähigkeitsladungen,Usos de habilidad: +§amount,,Использования навыков: +§amount,,+§amount застосувань умінь,,技能可用次数+§amount,スキル使用回数+§amount,+§amount usos de Habilidade,
skills_restore_all,Utilisations Compétence restaurées.,Skillanvändningar återställda,Yetenekler yenilendi,Usos de habilidad restaurados,,Использования навыков восстановлены,,Застосування вмінь відновлено,,技能可用次数已恢复,スキル使用回数が回復しました,Usos de habilidade restaurados,
new_trait_title,Nouveau Trait de Caractère!,Ny egenskap!,Yeni Yetenek!,¡Nuevo rasgo!,,Новая черта!,,Нова риса!,,新天赋！,新しい特性！,Novo Traço!,
skill_tree_new,Nouvel Arbre de Compétences!,Nytt skill-träd!,Yeni Yetenek Ağacı!,¡Nuevo árbol de habilidades!,,Новое дерево навыков!,,Нова тека вмінь!,,新技能树！,新しいスキルツリー！,Nova Árvore de Habilidades!,
skill_tree_permanent,disponible pour toutes les prochaines parties,tillgänglig för alla framtida genomspelningar,gelecekteki oyunlar için kullanılabilir,disponible para todas las partidas futuras,,доступно во всех последующих поездках,,доступно в усіх подальших пригодах,,后续游戏流程均可使用。,今後のすべてのゲームで利用できます,está disponível para todas as jogatinas futuras,
skill_point_title_1,Vous avez obtenu,Du fick,Kazandın,Tienes,,Вы получили,,Ви отримали,,获得了,入手：,Você recebeu,
skill_point_title_2_singular,Point de Compétence,Skillpoäng,Yetenek Puanı,Punto de habilidad,,Оч. навыка,,Од. умінь,,技能点,スキルポイント,Ponto de Habilidade,
skill_point_title_2_plural,Points de Compétence,Skillpoäng,Yetenek Puanları,Puntos de habilidad,,Оч. навыка,,Од. навичок,,技能点,スキルポイント,Pontos de Habilidade,
bonus_front_seat,BONUS SIÈGE AVANT,FRAMSÄTESBONUS!,ÖN KOLTUK BONUSU!,¡BONUS DEL ASIENTO DELANTERO!,,БОНУС ПЕРЕДНЕГО СИДЕНЬЯ!,,БОНУС ПЕРЕДНЬОГО СИДІННЯ!,,前排奖励！,助手席ボーナス！,BÔNUS DE BANCO DA FRENTE!,
bonus_social,BONUS SOCIABILITÉ,SOCIAL BONUS!,SOSYAL BONUSU!,¡BONUS SOCIAL!,,БОНУС ДРУЖЕЛЮБИЯ!,,ТОВАРИСЬКИЙ БОНУС!,,社交奖励！,社交性ボーナス！,BÔNUS SOCIAL!,
malus_dirty,PÉNALITÉ CRADO,SMUTS-STRAFF!,KİRLİLİK CEZASI!,¡PENALIZACIÓN!,,ШТРАФ ЗА ГРЯЗЬ!,,ШТРАФ ЗА БРУД!,,肮脏惩罚！,不潔ペナルティ！,PENALIDADE DE SUJEIRA!,
dashboard_threat_averted,[blink]MENACE ÉCARTÉE,[blink]HOT AVVÄRJAT,[blink]TEHDİT ÖNLENDİ,[blink]AMENAZA EVITADA,,[blink]УГРОЗА ПРЕДОТВРАЩЕНА,,[blink]ЗАГРОЗУ ВІДВЕРНЕНО,,[blink]危机解除,[blink]脅威を回避,[blink]AMEAÇA EVITADA,
dashboard_keep_driving,continuez de rouler...,fortsätt köra...,sürmeye devam et...,Sigue conduciendo...,,едем дальше...,,їхати далі...,,继续前行......,走り続ける...,continue dirigindo...,
dashboard_destination_reached,destination atteinte,framme vid destinationen,Hedefe ulaşıldı,Destino alcanzado,,достигнут пункт назначения,,місце призначення досягнуто,,抵达目的地,目的地に到着,destino alcançado,
road_summary_title,Résumé de la Route,Sammanfattning av vägen,Yolun Özeti,Resumen de trayecto,,Итог Дороги,,Дорожні підсумки,,道路概况,道中のまとめ,Sumário da Estrada,
road_summary_graph_text,Évolution Ressources de Route,Resursförändringar på vägen,Yol Kaynak Değişiklikleri,Cambios en los elementos del recorrido,,Изменения ресурсов Дороги,,Зміни дорожніх ресурсів,,道路资源变动,道中のリソース変更,Alterações de Recursos da Estrada,
road_summary_events_cleared,IMPRÉVUS COMPLÉTÉS,Avklarade event:,Etkinlik tamamlandı:,Eventos superados:,,Пройдено событий:,,Завершено подій:,,事件通关：,クリアしたイベント：,Eventos concluídos:,
road_summary_road_experience,Expérience de route:,Väg-exp:,Yol Tp.:,Exp de trayecto:,,Дорожный оп:,,Дорожній досвід:,,道路经验：,道中で得た経験値：,Exp. da estrada:,
phase_player,PHASE JOUEUR,SPELARFAS,OYUNCUNUN TURU,FASE DEL JUGADOR,,ФАЗА ИГРОКА,,ФАЗА ГРАВЦЯ,,玩家行动,プレイヤーフェイズ,FASE DO JOGADOR,
phase_extra,TOUR SUPPLÉMENTAIRE,EXTRA RUNDA,EKSTRA TUR,TURNO EXTRA,,ДОПОЛНИТЕЛЬНЫЙ ХОД,,ДОДАТКОВИЙ ХІД,,奖励回合,追加ターン,TURNO ADICIONAL,
phase_happy,TOUR JOYEUX,GLAD RUNDA,MUTLULUK TURU,TURNO FELIZ,,СЧАСТЛИВЫЙ ХОД,,ЩАСЛИВИЙ ХІД,,快乐回合,ハッピーターン,TURNO FELIZ,
phase_road,PHASE DE ROUTE,VÄGFAS,YOLUN TURU,FASE DE CARRETERA,,ФАЗА ДОРОГИ,,ФАЗА ДОРОГИ,,拦路险阻,道中イベントフェイズ,FASE DA ESTRADA,
stat_change_hot,CHAUD,VARM,SICAK,CALOR,,ЖАРКО,,ГАРЯЧЕ,,燥热,暑い,CALOR,
stat_change_cold,FROID,KALL,SOĞUK,FRÍO,,ХОЛОДНО,,ХОЛОДНО,,寒冷,寒い,FRIO,
explore_item_found,Vous avez trouvé un objet. Revenez à la position de départ pour le réclamer.,Du hittade ett föremål. Återvänd till startpositionen för att hämta det.,Bir eşya buldunuz. Almak için başlangıca dönün.,Has encontrado un objeto. Regresa al punto de inicio para reclamarlo.,,"Вы нашли предмет. Вернитесь в начальную точку, чтобы забрать его.",,"Ви знайшли предмет. Поверніться до початкової позиції, щоб забрати його.",,找到物品。请返回起点领取。,アイテムを見つけました。スタート地点に戻れば確保できます,Você encontrou um item. Volte até a posição inicial para reivindicá-lo.,
explore_item_claim,Vous avez réclamé les objets que vous transportez. Recevez tous les objets réclamés en quittant l'exploration.,Du har tagit alla förmål som du bär. Du får alla föremål när du lämnar utforskningsläget.,Taşıdığınız eşyaları aldınız. Keşiften çıktığınızda topladığınız tüm eşyaları alın.,Has reclamado los objetos que llevabas contigo. Los recibirás al abandonar la exploración.,,"Вы забрали все предметы, которые несёте с собой. Получите их сразу после завершения прогулки.",,"Ви забрали предмети, які несете із собою. Отримаєте їх, щойно завершите блукати.",,已领取当前携带物品。结束探索后将获得所有已领取物品。,運んでいたアイテムを確保しました。探索を終わると、確保した全アイテムを受け取れます,Você reivindicou os itens que está carregando. Receba todos os itens reivindicados quando você sair da exploração.,
vignette_sunrise,le soleil se lève,solen stiger upp,Gün doğumu...,Sale el sol,,солнышко встаёт,,сходить сонце,,旭日东升,日の出,o nascer do sol,
vignette_sunset,la nuit tombe,natten faller in,Gün batımı...,Cae la noche,,опускается ночь,,опускається ніч,,夜幕降临,日没,a noite chega,
threat_clone_title,Clone,Klon,Klon,Clon,,КЛОНИРОВАНИЕ,,КЛОНУВАННЯ,,克隆,複製,Clonar,Clone
threat_clone,Crée une autre threat de son type au lieu d'attaquer. Vous inflige des dégâts d'une unité s'il n'y a pas de place.,Skapar ett till hot av samma sort istället för att attackera. Gör skada med en enhet om det inte finns plats.,Saldırmak yerine kendi türünden başka bir threat yaratacaktır. Yer yoksa size bir birim hasar verecektir.,Creará otra threat de su tipo en lugar de atacar. Te dañará en una unidad si no hay espacio.,,Появляется ещё одна threat такого же типа вместо атаки. Но если места нет - наносит единицу урона.,,Замість атаки з'явиться ще одна threat того самого типу. Якщо ж бракує місця - завдасть 1 шкоди.,,不会进攻，但会生成一个同类threat。如果没有空位，则将造成1点伤害。,攻撃する代わりに、自身と同じ種類のthreatをもうひとつ作ります。スペースが足りない場合、1ダメージを与えてきます,Irá criar outra threat de seu tipo em vez de atacar. Irá causar dano a você em uma unidade se não houver espaço.,
stop_for_hitchhiker,Arrêtez-vous pour l'Autostopper,Stanna för liftare,Otostopçu için dur,Para a por el autoestopista,,Остановиться у автостопщика,,Зупинитися біля автостопника,,停车载客,ヒッチハイカーのために停まる,Parar para Caroneiro,
keep_driving,Continuez de Rouler,Fortsätt köra,Sürmeye devam et ,Sigue conduciendo,,Ехать дальше,,Їхати далі,,继续前行,走り続ける,Continuar Dirigindo,
perfect_road_event,P A R F A I T !,P E R F E K T !,M Ü K E M M E L!,¡P E R F E C T O!,,И Д Е А Л Ь Н О !,,Б Е З Д О Г А Н Н О !,,完美！,パーフェクト！,P E R F E I T O !,
